Tournament,Surface,Court,Player_1,Player_2,ID_P1,ID_P2,Round,Date,EVENT_ID,Odd_1,Odd_2,Rank_1,Rank_2,Pts_1,Pts_2
W15 Heraklion 2 ITF Women,clay,Outdoor,Laron M.,Wirges A.,lWZ2immf,YHuwfeTn,1/8-finals,2025-03-27,0hKP6BGa,3.1,1.36,,,,
W15 Heraklion 2 ITF Women,clay,Outdoor,Slavikova E.,Pavlou D.,80AX778d,A5DgdSBm,1/8-finals,2025-03-27,EsTjtzqh,7.5,1.07,,,,
W15 Heraklion 2 ITF Women,clay,Outdoor,Kokkinis T.,Bertea E. R.,Ig6ny1T8,bD5rNiLq,1/8-finals,2025-03-27,CvCxui3M,2.4,1.53,,,,
W15 Heraklion 2 ITF Women,clay,Outdoor,Makarova E.,Tsetsou E.,UeJstJ4j,KrhEot1t,1/8-finals,2025-03-27,zZjmU3Pp,,,,,,
W15 Heraklion 2 ITF Women,clay,Outdoor,Podlinska M.,Hietaranta L.,lh66YaOh,YHTwEgqm,1/8-finals,2025-03-27,G2kklPGG,3.5,1.29,,,,
W15 Heraklion 2 ITF Women,clay,Outdoor,Pawlak L.,Rey Garcia A.,MijEGME2,CAPe888e,1/8-finals,2025-03-27,YDCE7o2n,2.75,1.4,,,,
M25 Ahmedabad ITF Men,hard,Outdoor,Clarke J.,Lomakin G.,pWyUazPi,vTJ8pfma,1/8-finals,2025-03-27,4jMIUSB4,1.07,8.0,298.0,874.0,177.0,22.0
M25 Ahmedabad ITF Men,hard,Outdoor,Eqbal I.,Taguchi R.,f3v1B0oO,xSn3x2JE,1/8-finals,2025-03-27,8pKbN94C,3.25,1.33,1032.0,572.0,13.0,61.0
M25 Ahmedabad ITF Men,hard,Outdoor,Matsuda R.,Binda A.,236PBwA2,pY05SOxc,1/8-finals,2025-03-27,zFYoZLLE,2.25,1.6,631.0,484.0,50.0,85.0
M25 Ahmedabad ITF Men,hard,Outdoor,Shah A.,Kamath M.,QX2MqIHF,2yZZLIdF,1/8-finals,2025-03-27,GGQGChjf,1.2,6.0,567.0,2073.0,62.0,1.0
M25 Ahmedabad ITF Men,hard,Outdoor,Singh K.,Reddy R.,fRgO5Du3,UVNWOxqt,1/8-finals,2025-03-27,K6Yf6WoB,1.07,7.5,490.0,1781.0,84.0,2.0
M25 Ahmedabad ITF Men,hard,Outdoor,Duhan C.,Javia D.,W2Hk0tpc,xtv2D7jE,1/8-finals,2025-03-27,fikJitj1,3.25,1.36,947.0,606.0,17.0,54.0
M25 Ahmedabad ITF Men,hard,Outdoor,Tyagi K.,Sinha N. K.,0xnNA8um,nLLCyZOb,1/8-finals,2025-03-27,fuPIS4th,2.43,1.62,,1202.0,,8.0
M25 Ahmedabad ITF Men,hard,Outdoor,Vishwakarma S.,Bouzige M.,8tw79mJk,M1nh93mm,1/8-finals,2025-03-27,6mSf8Kcs,2.75,1.4,790.0,403.0,29.0,119.0
M25 Ahmedabad ITF Men,hard,Outdoor,Clarke J.,Duhan C.,pWyUazPi,W2Hk0tpc,Quarter-finals,2025-03-27,Y5lRaDlI,1.05,8.5,298.0,947.0,177.0,17.0
M25 Ahmedabad ITF Men,hard,Outdoor,Shah A.,Binda A.,QX2MqIHF,pY05SOxc,Quarter-finals,2025-03-27,EoT6izv8,2.22,1.6,567.0,484.0,62.0,85.0
M25 Ahmedabad ITF Men,hard,Outdoor,Singh K.,Taguchi R.,fRgO5Du3,xSn3x2JE,Quarter-finals,2025-03-27,vFiHKPlB,,,490.0,572.0,84.0,61.0
M25 Ahmedabad ITF Men,hard,Outdoor,Tyagi K.,Vishwakarma S.,0xnNA8um,8tw79mJk,Quarter-finals,2025-03-27,p6N2HKVQ,,,,790.0,,29.0
M15 Foggia ITF Men,clay,Outdoor,de Marchi A.,Romano F.,vDGADPSe,CAxK6Xbs,1/8-finals,2025-03-27,A9MavED4,2.5,1.5,1703.0,725.0,2.0,36.0
M15 Foggia ITF Men,clay,Outdoor,Bouquet L.,Schifris J.,pWZHwGON,SnXb2YXo,1/8-finals,2025-03-27,YZ3orqoS,,,504.0,1246.0,79.0,7.0
M15 Foggia ITF Men,clay,Outdoor,Miletich I.,Brigida O.,v33UOz8s,MuvvSQyE,1/8-finals,2025-03-27,tYYalvng,1.3,3.5,917.0,,19.0,
M15 Foggia ITF Men,clay,Outdoor,Marmousez L.,Motta A.,2q0LOTtF,QoIsrZWp,1/8-finals,2025-03-27,nakgC1TI,1.05,9.0,398.0,1881.0,120.0,1.0
